Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","17/11/2020 02:06"
"Last updated:","17/11/2020 02:06"
"Last Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=Fb2V
"Data definitions",https://www.unhcr.org/refugee-statistics-2/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:
"Country of asylum::"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR’s mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2013,"Syrian Arab Rep.",SYR,Australia,AUS,265,138,0,,0,0
2013,"Syrian Arab Rep.",SYR,Austria,AUT,2748,1561,0,,0,0
2013,"Syrian Arab Rep.",SYR,Azerbaijan,AZE,9,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,Belgium,BEL,1987,378,0,,0,0
2013,"Syrian Arab Rep.",SYR,Belarus,BLR,35,25,0,,0,0
2013,"Syrian Arab Rep.",SYR,"Bolivia (Plurinational State of)",BOL,5,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Brazil,BRA,333,70,0,,0,0
2013,"Syrian Arab Rep.",SYR,"Bosnia and Herzegovina",BIH,48,18,0,,0,0
2013,"Syrian Arab Rep.",SYR,Bulgaria,BGR,2104,2500,0,,0,0
2013,"Syrian Arab Rep.",SYR,Canada,CAN,592,435,0,,0,0
2013,"Syrian Arab Rep.",SYR,Chad,TCD,15,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Chile,CHL,5,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,Cameroon,CMR,0,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,"Costa Rica",CRI,0,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,Cuba,CUB,24,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Cyprus,CYP,316,1319,0,,0,0
2013,"Syrian Arab Rep.",SYR,Czechia,CZE,149,25,0,,0,0
2013,"Syrian Arab Rep.",SYR,Denmark,DNK,3271,87,0,,0,0
2013,"Syrian Arab Rep.",SYR,"Dominican Rep.",DOM,5,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Ecuador,ECU,11,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,Estonia,EST,0,10,0,,0,0
2013,"Syrian Arab Rep.",SYR,Finland,FIN,352,77,0,,0,0
2013,"Syrian Arab Rep.",SYR,France,FRA,1474,343,0,,0,0
2013,"Syrian Arab Rep.",SYR,"United Kingdom of Great Britain and Northern Ireland",GBR,3169,641,0,,0,0
2013,"Syrian Arab Rep.",SYR,Georgia,GEO,516,26,0,,0,0
2013,"Syrian Arab Rep.",SYR,Germany,DEU,21253,10566,0,,0,0
2013,"Syrian Arab Rep.",SYR,Ghana,GHA,0,55,0,,0,0
2013,"Syrian Arab Rep.",SYR,Greece,GRC,195,1665,0,,0,8000
2013,"Syrian Arab Rep.",SYR,Croatia,HRV,22,36,0,,0,0
2013,"Syrian Arab Rep.",SYR,Hungary,HUN,141,184,0,,0,0
2013,"Syrian Arab Rep.",SYR,Iceland,ISL,7,10,0,,0,0
2013,"Syrian Arab Rep.",SYR,"Cote d'Ivoire",CIV,0,12,0,,0,0
2013,"Syrian Arab Rep.",SYR,India,IND,18,12,0,,0,0
2013,"Syrian Arab Rep.",SYR,Indonesia,IDN,36,43,0,,0,0
2013,"Syrian Arab Rep.",SYR,Ireland,IRL,71,10,0,,0,0
2013,"Syrian Arab Rep.",SYR,Iraq,IRQ,212809,1164,0,,0,0
2013,"Syrian Arab Rep.",SYR,Italy,ITA,840,278,0,,0,0
2013,"Syrian Arab Rep.",SYR,Jordan,JOR,585304,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Japan,JPN,26,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Kazakhstan,KAZ,7,21,0,,0,0
2013,"Syrian Arab Rep.",SYR,Kyrgyzstan,KGZ,14,77,0,,0,0
2013,"Syrian Arab Rep.",SYR,"Rep. of Korea",KOR,0,431,0,,0,0
2013,"Syrian Arab Rep.",SYR,Kuwait,KWT,13,10,0,,0,0
2013,"Syrian Arab Rep.",SYR,Liberia,LBR,0,10,0,,0,0
2013,"Syrian Arab Rep.",SYR,Libya,LBY,16796,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Lebanon,LBN,851284,331,0,,0,0
2013,"Syrian Arab Rep.",SYR,Lithuania,LTU,18,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,Luxembourg,LUX,5,23,0,,0,0
2013,"Syrian Arab Rep.",SYR,Latvia,LVA,33,12,0,,0,0
2013,"Syrian Arab Rep.",SYR,Mauritania,MRT,5,41,0,,0,0
2013,"Syrian Arab Rep.",SYR,"North Macedonia",MKD,0,205,0,,0,0
2013,"Syrian Arab Rep.",SYR,"Rep. of Moldova",MDA,139,27,0,,0,0
2013,"Syrian Arab Rep.",SYR,Mexico,MEX,13,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Malaysia,MYS,101,720,0,,0,0
2013,"Syrian Arab Rep.",SYR,Mongolia,MNG,0,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,Morocco,MAR,856,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Malta,MLT,776,102,0,,0,0
2013,"Syrian Arab Rep.",SYR,Montenegro,MNE,0,60,0,,0,0
2013,"Syrian Arab Rep.",SYR,Netherlands,NLD,3404,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Niger,NER,6,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Nigeria,NGA,9,10,0,,0,0
2013,"Syrian Arab Rep.",SYR,Norway,NOR,1311,259,0,,0,0
2013,"Syrian Arab Rep.",SYR,"New Zealand",NZL,43,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,Oman,OMN,7,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,Pakistan,PAK,13,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Peru,PER,5,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Philippines,PHL,7,21,0,,0,0
2013,"Syrian Arab Rep.",SYR,Poland,POL,108,100,0,,0,0
2013,"Syrian Arab Rep.",SYR,Portugal,PRT,14,10,0,,0,0
2013,"Syrian Arab Rep.",SYR,Qatar,QAT,8,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Romania,ROU,932,91,0,,0,0
2013,"Syrian Arab Rep.",SYR,"South Africa",ZAF,8,10,0,,0,0
2013,"Syrian Arab Rep.",SYR,"Russian Federation",RUS,1163,839,0,,0,1400
2013,"Syrian Arab Rep.",SYR,"Saudi Arabia",SAU,14,12,0,,0,0
2013,"Syrian Arab Rep.",SYR,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,5,60,0,,0,0
2013,"Syrian Arab Rep.",SYR,Senegal,SEN,0,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,Somalia,SOM,0,10,0,,0,0
2013,"Syrian Arab Rep.",SYR,Spain,ESP,180,743,0,,0,0
2013,"Syrian Arab Rep.",SYR,Sudan,SDN,84,224,0,,0,0
2013,"Syrian Arab Rep.",SYR,Slovakia,SVK,26,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Slovenia,SVN,9,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Sweden,SWE,17984,6808,0,,0,0
2013,"Syrian Arab Rep.",SYR,Switzerland,CHE,2012,2849,0,,0,0
2013,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",SYR,0,0,6520800,,0,0
2013,"Syrian Arab Rep.",SYR,"United Rep. of Tanzania",TZA,0,5,0,,0,0
2013,"Syrian Arab Rep.",SYR,Thailand,THA,44,144,0,,0,0
2013,"Syrian Arab Rep.",SYR,Tunisia,TUN,164,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Turkey,TUR,585601,110,0,,0,0
2013,"Syrian Arab Rep.",SYR,"United Arab Emirates",ARE,16,14,0,,0,0
2013,"Syrian Arab Rep.",SYR,Uganda,UGA,0,10,0,,0,0
2013,"Syrian Arab Rep.",SYR,Ukraine,UKR,167,591,0,,0,0
2013,"Syrian Arab Rep.",SYR,"United States of America",USA,3802,1378,0,,0,0
2013,"Syrian Arab Rep.",SYR,Yemen,YEM,54,1761,0,,0,0
2013,"Syrian Arab Rep.",SYR,Zambia,ZMB,0,5,0,,0,0
2014,"Syrian Arab Rep.",SYR,Albania,ALB,5,10,0,,0,0
2014,"Syrian Arab Rep.",SYR,Algeria,DZA,0,4109,0,,0,0
2014,"Syrian Arab Rep.",SYR,Egypt,EGY,138381,0,0,,0,0
2014,"Syrian Arab Rep.",SYR,Argentina,ARG,233,22,0,,0,0
2014,"Syrian Arab Rep.",SYR,Armenia,ARM,14994,10,0,,0,0
2014,"Syrian Arab Rep.",SYR,Australia,AUS,302,172,0,,0,0
2014,"Syrian Arab Rep.",SYR,Austria,AUT,6653,0,0,,0,0
2014,"Syrian Arab Rep.",SYR,Azerbaijan,AZE,7,5,0,,0,0
2014,"Syrian Arab Rep.",SYR,Belgium,BEL,2620,732,0,,0,0
2014,"Syrian Arab Rep.",SYR,Belarus,BLR,72,48,0,,0,0
2014,"Syrian Arab Rep.",SYR,"Bolivia (Plurinational State of)",BOL,6,0,0,,0,0
2014,"Syrian Arab Rep.",SYR,Brazil,BRA,1739,76,0,,0,0
2014,"Syrian Arab Rep.",SYR,"Bosnia and Herzegovina",BIH,25,0,0,,0,0
2014,"Syrian Arab Rep.",SYR,Bulgaria,BGR,8501,2510,0,,0,0
2014,"Syrian Arab Rep.",SYR,Canada,CAN,705,182,0,,0,0
2014,"Syrian Arab Rep.",SYR,"Central African Rep.",CAF,0,10,0,,0,0
2014,"Syrian Arab Rep.",SYR,Chad,TCD,15,5,0,,0,0
2014,"Syrian Arab Rep.",SYR,China,CHN,5,0,0,,0,0
2014,"Syrian Arab Rep.",SYR,Chile,CHL,6,10,0,,0,0
2014,"Syrian Arab Rep.",SYR,Cameroon,CMR,0,11,0,,0,0
2014,"Syrian Arab Rep.",SYR,Colombia,COL,5,0,0,,0,0
2014,"Syrian Arab Rep.",SYR,"Costa Rica",CRI,5,5,0,,0,0
2014,"Syrian Arab Rep.",SYR,Cuba,CUB,20,0,0,,0,0
2014,"Syrian Arab Rep.",SYR,Cyprus,CYP,1451,1110,0,,0,0
2014,"Syrian Arab Rep.",SYR,Czechia,CZE,236,54,0,,0,0
2014,"Syrian Arab Rep.",SYR,Denmark,DNK,7253,1468,0,,0,0
2014,"Syrian Arab Rep.",SYR,Djibouti,DJI,0,5,0,,0,0
2014,"Syrian Arab Rep.",SYR,Ecuador,ECU,13,0,0,,0,0
